계정명,속성명,Web Stream Measurement ID,Property ID,대표 URLs,Web GTM Pubilic ID,Dataset ID
[GA4] Amorepacific - Brand,[BR] Test Property,G-SVGWW40NG0,419601074.0,-,GTM-5WPV3QS4,analytics_419601074
[GA4] Amorepacific - Brand,[BR] TONEWORK,G-L0DBHWX4RV,416701961.0,https://www.tonework.com,GTM-TZ2BK7SH,analytics_416701961
[GA4] Amorepacific - Brand,[BR] VITALBEAUTIE,G-W3WXPVMR99,416650283.0,https://www.vitalbeautie.com/kr/ko,GTM-TCBZFZT3,analytics_416650283
[GA4] Amorepacific - Ecommerce,[EC] ADITSHOP - KR,G-1WNRQ2RWZV,416624566.0,https://m.a-ditshop.com,GTM-PX556SRJ,analytics_416624566
[GA4] Amorepacific - Ecommerce,[EC] AESTURA - KR,G-84NHR3996T,416680783.0,https://www.aestura.com/web/main.do,GTM-MZH2JRFN,analytics_416680783
[GA4] Amorepacific - Ecommerce,[EC] AMOREMALL - KR,G-FZGDPV2WNV,416629733.0,https://www.amoremall.com/kr/ko/display/main,GTM-5FK5X5C4,analytics_416629733
[GA4] Amorepacific - Ecommerce,[EC] AMOREMALL - TEST,G-8NQQDY31FN,419596438.0,-,GTM-5FK5X5C4,analytics_419596438
[GA4] Amorepacific - Ecommerce,[EC] AMOSPRO - KR,G-L4BVNEPCSM,462679065.0,https://amospro.amoshair.co.kr/,GTM-KGQLZ7JG,analytics_462679065
[GA4] Amorepacific - Ecommerce,[EC] ARITAUM - KR,G-00V8Q7C3TE,416612114.0,https://www.aritaum.com/main.do,GTM-5ZZMCQ9B,analytics_416612114
[GA4] Amorepacific - Ecommerce,[EC] AYUNCHE - KR,G-P5J15QS8TB,416672048.0,https://www.ayunche.com,GTM-P7SDQSCP,analytics_416672048
[GA4] Amorepacific - Ecommerce,[EC] AYUNCHEPRO - KR,G-LLLJVS3JRX,416705262.0,https://www.ayunchepro.com,GTM-MV2NCX5D,analytics_416705262
[GA4] Amorepacific - Ecommerce,[EC] BRDY - KR,G-GZSC5HMXZ2,416706974.0,https://www.brdy-official.com,GTM-KCH4DTPM,analytics_416706974
[GA4] Amorepacific - Legacy,[EC] CUSTOMME - KR,G-KZ2FGTLNNR,416685548.0,https://www.customme.com/main,GTM-TXD8H8LK,analytics_416685548
[GA4] Amorepacific - Ecommerce,[EC] ESPOIR,G-FXREB468E8,416696665.0,https://www.espoir.com/ko/main.do,GTM-T5QK2299,analytics_416696665
[GA4] Amorepacific - Ecommerce,[EC] ESPOIR,G-FXREB468E8,416696665.0,https://www.espoir.com/en/main.do,GTM-T5QK2299,
[GA4] Amorepacific - Ecommerce,[EC] ESPOIR,G-FXREB468E8,416696665.0,https://www.espoir.com/jp/main.do,GTM-T5QK2299,
[GA4] Amorepacific - Ecommerce,[EC] ILLIYOON - KR,G-G44JBGN2K2,416714189.0,https://www.illiyoon.com,GTM-PFZJG9F3,analytics_416714189
[GA4] Amorepacific - Ecommerce,[EC] INNISFREE - KR,G-PKG8ZN03QW,416711867.0,https://www.innisfree.com/kr/ko/,GTM-TC4GB5CF,analytics_416711867
[GA4] Amorepacific - Ecommerce,[EC] INNISFREE- TEST,G-SQN1Q9YNTY,419574260.0,-,GTM-TC4GB5CF,analytics_419574260
[GA4] Amorepacific - Ecommerce,[EC] LABOH - KR,G-XHGW0FDJ87,416571110.0,https://laboh.co.kr/,GTM-PJD5VDF4,analytics_416571110
[GA4] Amorepacific - Ecommerce,[EC] MAKEON - KR,G-EHCZCPHQ9X,479578062.0,https://make-on.com,GTM-W2ZKJTVD,analytics_479578062
[GA4] Amorepacific - Ecommerce,[EC] OSULLOC - KR,G-46DFPHV30H,416602402.0,https://www.osulloc.com/kr/ko,GTM-KW8MKLBZ,analytics_416602402
[GA4] Amorepacific - Ecommerce,[EC] Test Property,G-45NSDYPFD1,419594405.0,-,GTM-KW8MKLBZ,analytics_419594405
[GA4] Amorepacific - Global D2C,[EC] AMOREMALL - GL,G-TV671RWMZG,416573537.0,https://global.amoremall.com,GTM-5J8C64SV,analytics_416573537
[GA4] Amorepacific - Global D2C,[EC] AMOREMALL - GL,G-TV671RWMZG,416573537.0,,GTM-5J8C64SV,
[GA4] Amorepacific - Global D2C,[EC] AMOREMALL - GL,G-TV671RWMZG,416573537.0,https://global.amoremall.com/ja,GTM-5J8C64SV,
[GA4] Amorepacific - Global D2C,[EC] AMOREPACIFIC - HK,G-EJR4WH09BQ,416696429.0,https://hk.ap-beauty.com/tc_a/,GTM-NBLCBTJ4,analytics_416696429
[GA4] Amorepacific - Global D2C,[EC] AMOREPACIFIC - HK,G-EJR4WH09BQ,416696429.0,hk.ap-beauty.com,GTM-NBLCBTJ4,
[GA4] Amorepacific - Global D2C,[EC] AMOREPACIFIC - US,G-HH1FQQPSH5,416693455.0,https://us.amorepacific.com,GTM-5ZBFG6H9,analytics_416693455
[GA4] Amorepacific - Legacy,[EC] ETUDE - GL,G-30L4JS7N4Y,416696430.0,https://www.etudehouse.com/int/en/,GTM-PFWJ6Q2R,analytics_416696430
[GA4] Amorepacific - Global D2C,[EC] ETUDE - JP,G-KF4SD4WGEC,416697349.0,https://etude.jp/,GTM-PHWJJWSH,analytics_416697349
[GA4] Amorepacific - Global D2C,[EC] HERA - JP,G-HX8K4S0JXC,421084533.0,https://jp.hera.com/,GTM-PWTTZSJG,analytics_421084533
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - AU,G-HY2KE0E2R9,416693457.0,https://au.innisfree.com,GTM-P95XPBZR,analytics_416693457
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - HK,G-BVN6GMTBR4,416714190.0,https://hk.innisfree.com,GTM-5KGVVHC8,analytics_416714190
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - IN,G-JN5XF0K10E,416650285.0,https://in.innisfree.com,GTM-MSKN6NPX,analytics_416650285
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - JP,G-H1KEQEVLT2,416525487.0,https://www.innisfree.jp,GTM-WDWNGWDB,analytics_416525487
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - MY,G-N2GXQ6T4TP,416690241.0,https://www.innisfree.my,GTM-PDDXGBWW,analytics_416690241
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - PH,G-4M54ZNK74S,416635942.0,https://ph.innisfree.com,GTM-T58LSDB6,analytics_416635942
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - SG,G-PZZD63BF1H,416707468.0,https://sg.innisfree.com,GTM-MDPQVHVB,analytics_416707468
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - TH,G-113ZV28DST,416680710.0,https://th.innisfree.com,GTM-TR9JVL79,analytics_416680710
